"acc","locus_tag","gene_name","length_nt","start","end","type","annotation"
"NP_014438.3","YNR040W",NA,771,699690,700460,"protein_coding","hypothetical protein"
"NP_014439.3","YNR041C","COQ2",1119,700541,701659,"protein_coding","4-hydroxybenzoate octaprenyltransferase"
"NP_014441.1","YNR043W","MVD1",1191,701895,703085,"protein_coding","diphosphomevalonate decarboxylase MVD1"
"NP_014442.1","YNR044W","AGA1",2178,703699,705876,"protein_coding","Aga1p"
"NP_014443.3","YNR045W","PET494",1470,706139,707608,"protein_coding","Pet494p"
"NP_014444.1","YNR046W","TRM112",408,707788,708195,"protein_coding","RNA methylation protein TRM112"
"NP_014445.1","YNR047W","FPK1",2682,708523,711204,"protein_coding","serine/threonine protein kinase FPK1"
"NP_014446.3","YNR048W","CRF1",1182,711630,712811,"protein_coding","putative aminophospholipid translocase regulatory protein"
"NP_014447.3","YNR049C","MSO1",633,713023,713655,"protein_coding","Mso1p"
"NP_014448.1","YNR050C","LYS9",1341,714048,715388,"protein_coding","saccharopine dehydrogenase (NADP+, L-glutamate-forming)"
"NP_014449.1","YNR051C","BRE5",1548,716780,718327,"protein_coding","Bre5p"
"NP_014450.3","YNR052C","POP2",1302,719346,720647,"protein_coding","CCR4-NOT core DEDD family RNase subunit POP2"
"NP_014452.1","YNR054C","ESF2",951,723356,724306,"protein_coding","RNA-binding ATPase activator ESF2"
"NP_014453.3","YNR055C","HOL1",1761,728426,730186,"protein_coding","Hol1p"
"NP_014454.3","YNR056C","BIO5",1686,731618,733303,"protein_coding","Bio5p"
"NP_014455.1","YNR057C","BIO4",714,733356,734069,"protein_coding","dethiobiotin synthase"
"NP_014456.1","YNR058W","BIO3",1443,734291,735733,"protein_coding","adenosylmethionine-8-amino-7-oxononanoate transaminase"
"NP_014457.3","YNR059W","MNT4",1743,736803,738545,"protein_coding","putative alpha-1,3-mannosyltransferase"
"NP_014458.1","YNR060W","FRE4",2160,739951,742110,"protein_coding","ferric-chelate reductase"
"NP_014459.1","YNR061C",NA,660,742881,743540,"protein_coding","hypothetical protein"
"NP_014460.3","YNR062C",NA,984,744360,745343,"protein_coding","hypothetical protein"
"NP_014461.3","YNR063W",NA,1824,746943,748766,"protein_coding","hypothetical protein"
"NP_014462.1","YNR064C",NA,873,749136,750008,"protein_coding","epoxide hydrolase"
"NP_014463.1","YNR065C",NA,3351,750350,753700,"protein_coding","hypothetical protein"
"NP_014464.3","YNR066C",NA,1311,753725,755035,"protein_coding","hypothetical protein"
"NP_014465.1","YNR067C","DSE4",3354,755746,759099,"protein_coding","endo-1,3(4)-beta-glucanase"
"NP_014466.1","YNR068C","BUL3",819,760067,760885,"protein_coding","hypothetical protein"
"NP_014467.3","YNR069C","BSC5",1470,761123,762592,"protein_coding","Bsc5p"
"NP_014468.3","YNR070W","PDR18",4002,765375,769376,"protein_coding","ATP-binding cassette multidrug transporter PDR18"
"NP_014469.1","YNR071C",NA,1029,770440,771468,"protein_coding","aldose 1-epimerase superfamily protein"
"NP_014470.1","YNR072W","HXT17",1695,772657,774351,"protein_coding","hexose transporter HXT17"
"NP_014471.3","YNR073C","MAN2",1509,774792,776300,"protein_coding","putative mannitol dehydrogenase"
"NP_014472.1","YNR074C","AIF1",1137,777602,778738,"protein_coding","Aif1p"
"NP_014473.1","YNR075W","COS10",1125,779916,781040,"protein_coding","Cos10p"
"NP_878159.3","YNR075C-A",NA,93,781511,781603,"protein_coding","hypothetical protein"
"NP_014474.3","YNR076W","PAU6",363,781918,782280,"protein_coding","seripauperin PAU6"
"NP_001254791.1","YNR077C",NA,255,783287,783541,"protein_coding","hypothetical protein"
"NP_878160.1","YOL166W-A",NA,156,585,740,"protein_coding","hypothetical protein"
"NP_014477.1","YOL165C","AAD15",432,1647,2078,"protein_coding","putative aryl-alcohol dehydrogenase"
"NP_878161.1","YOL164W-A",NA,183,4130,4312,"protein_coding","hypothetical protein"
"NP_014478.1","YOL164W","BDS1",1941,6175,8115,"protein_coding","sulfuric ester hydrolase"
"NP_014479.1","YOL163W",NA,510,9597,10106,"protein_coding","hypothetical protein"
"NP_014480.1","YOL162W",NA,648,10119,10766,"protein_coding","hypothetical protein"
"NP_014481.1","YOL161C","PAU20",363,11549,11911,"protein_coding","seripauperin PAU20"
"NP_001335811.1","YOL160W",NA,342,14313,14654,"protein_coding","hypothetical protein"
"NP_076909.1","YOL159C-A",NA,273,15233,15505,"protein_coding","hypothetical protein"
"NP_014483.1","YOL159C","CSS3",516,17281,17796,"protein_coding","Css3p"
"NP_014484.1","YOL158C","ENB1",1821,19491,21311,"protein_coding","Enb1p"
"NP_014485.1","YOL157C","IMA2",1770,22525,24294,"protein_coding","oligo-1,6-glucosidase IMA2"
"NP_014486.1","YOL156W","HXT11",1704,25273,26976,"protein_coding","hexose transporter HXT11"
"NP_878162.1","YOL155W-A",NA,135,27084,27218,"protein_coding","hypothetical protein"
"NP_014487.1","YOL155C","HPF1",2904,28703,31606,"protein_coding","mannoprotein"
"NP_014488.1","YOL154W","ZPS1",750,34658,35407,"protein_coding","Zps1p"
"NP_014489.2","YOL152W","FRE7",1863,40748,42610,"protein_coding","putative ferric-chelate reductase"
"NP_014490.1","YOL151W","GRE2",1029,43694,44722,"protein_coding","methylglyoxal reductase (NADPH-dependent) GRE2"
"NP_014492.1","YOL149W","DCP1",696,44938,45633,"protein_coding","Dcp1p"
"NP_014493.1","YOL148C","SPT20",1815,45760,47574,"protein_coding","Spt20p"
"NP_014494.1","YOL147C","PEX11",711,47933,48643,"protein_coding","Pex11p"
"NP_014495.2","YOL146W","PSF3",585,48864,49448,"protein_coding","DNA replication protein PSF3"
"NP_014496.2","YOL145C","CTR9",3234,49555,52788,"protein_coding","Ctr9p"
"NP_014497.1","YOL144W","NOP8",1455,53098,54552,"protein_coding","Nop8p"
"NP_014498.1","YOL143C","RIB4",510,54595,55104,"protein_coding","lumazine synthase RIB4"
"NP_014499.2","YOL142W","RRP40",723,55558,56280,"protein_coding","exosome non-catalytic core subunit RRP40"
"NP_014500.2","YOL141W","PPM2",2088,56452,58539,"protein_coding","tRNA methyltransferase PPM2"
"NP_014501.1","YOL140W","ARG8",1272,58759,60030,"protein_coding","acetylornithine transaminase"
"NP_014502.1","YOL139C","CDC33",642,60383,61024,"protein_coding","translation initiation factor eIF4E"
"NP_014503.2","YOL138C","RTC1",4026,61325,65350,"protein_coding","Rtc1p"
"NP_014504.1","YOL137W","BSC6",1494,65621,67114,"protein_coding","Bsc6p"
"NP_014505.1","YOL136C","PFK27",1194,67561,68754,"protein_coding","6-phosphofructo-2-kinase"
"NP_014506.1","YOL135C","MED7",669,69376,70044,"protein_coding","mediator complex subunit MED7"
"NP_014508.1","YOL133W","HRT1",366,70325,70690,"protein_coding","SCF ubiquitin ligase complex subunit HRT1"
"NP_014509.1","YOL132W","GAS4",1416,71300,72715,"protein_coding","1,3-beta-glucanosyltransferase"
"NP_014510.1","YOL131W",NA,327,73031,73357,"protein_coding","hypothetical protein"
"NP_014511.1","YOL130W","ALR1",2580,74400,76979,"protein_coding","Mg(2+) transporter ALR1"
"NP_014512.1","YOL129W","VPS68",555,77560,78114,"protein_coding","Vps68p"
"NP_014513.1","YOL128C","YGK3",1128,78352,79479,"protein_coding","serine/threonine protein kinase YGK3"
"NP_014515.2","YOL126C","MDH2",1134,81787,82920,"protein_coding","malate dehydrogenase MDH2"
"NP_014516.1","YOL125W","TRM13",1431,83834,85264,"protein_coding","tRNA:m4X modification enzyme"
"NP_014517.1","YOL124C","TRM11",1302,85456,86757,"protein_coding","tRNA (guanine-N2-)-methyltransferase"
"NP_014518.1","YOL123W","HRP1",1605,87844,89448,"protein_coding","Hrp1p"
"NP_014519.1","YOL122C","SMF1",1728,89692,91419,"protein_coding","divalent metal ion transporter SMF1"
"NP_014522.1","YOL119C","MCH4",1506,94856,96361,"protein_coding","Mch4p"
"NP_001335812.1","YOL118C",NA,309,96608,96916,"protein_coding","hypothetical protein"
"NP_014524.1","YOL117W","RRI2",1938,97551,99488,"protein_coding","Rri2p"
"NP_014525.1","YOL116W","MSN1",1149,99809,100957,"protein_coding","Msn1p"
"NP_014526.1","YOL115W","PAP2",1755,101475,103229,"protein_coding","non-canonical poly(A) polymerase PAP2"
"NP_014527.1","YOL114C","PTH4",609,103317,103925,"protein_coding","Pth4p"
"NP_014528.1","YOL113W","SKM1",1968,104326,106293,"protein_coding","putative serine/threonine protein kinase SKM1"
"NP_014529.1","YOL112W","MSB4",1479,106710,108188,"protein_coding","Rab GTPase-activating protein MSB4"
"NP_014530.1","YOL111C","MDY2",639,108258,108896,"protein_coding","Mdy2p"
"NP_014531.1","YOL110W","SHR5",714,109176,109889,"protein_coding","Shr5p"
"NP_014532.1","YOL109W","ZEO1",342,110297,110638,"protein_coding","Zeo1p"
"NP_014533.1","YOL108C","INO4",456,111431,111886,"protein_coding","Ino4p"
"NP_014534.1","YOL107W",NA,1029,112102,113130,"protein_coding","hypothetical protein"
"NP_014536.1","YOL105C","WSC3",1671,114138,115808,"protein_coding","Wsc3p"
"NP_014537.1","YOL104C","NDJ1",1059,116396,117454,"protein_coding","Ndj1p"
"NP_058182.1","YOL103W-A",NA,1323,118000,119322,"protein_coding","gag protein"
"NP_014538.2","YOL103W","ITR2",1830,124001,125830,"protein_coding","myo-inositol transporter ITR2"
"NP_014539.1","YOL102C","TPT1",693,125997,126689,"protein_coding","tRNA 2'-phosphotransferase"
"NP_014540.1","YOL101C","IZH4",939,126982,127920,"protein_coding","Izh4p"
"NP_014541.1","YOL100W","PKH2",3246,129237,132482,"protein_coding","serine/threonine protein kinase PKH2"
"NP_014543.1","YOL098C","SDD3",3114,132725,135838,"protein_coding","Sdd3p"
"NP_878163.1","YOL097W-A",NA,186,136220,136405,"protein_coding","hypothetical protein"
"NP_014544.1","YOL097C","WRS1",1299,136527,137825,"protein_coding","tryptophan--tRNA ligase WRS1"
"NP_014545.2","YOL096C","COQ3",939,138107,139045,"protein_coding","hexaprenyldihydroxybenzoate methyltransferase"
"NP_014546.1","YOL095C","HMI1",2121,139227,141347,"protein_coding","ATP-dependent 3'-5' DNA helicase"
"NP_014547.1","YOL094C","RFC4",972,141584,142555,"protein_coding","replication factor C subunit 4"
"NP_014548.1","YOL093W","TRM10",882,142815,143696,"protein_coding","tRNA (guanine(9)-N(1))-methyltransferase"
"NP_014549.1","YOL092W","YPQ1",927,144204,145130,"protein_coding","cationic amino acid transporter"
"NP_014550.1","YOL091W","SPO21",1830,145334,147163,"protein_coding","Spo21p"
"NP_014551.1","YOL090W","MSH2",2895,147382,150276,"protein_coding","mismatch repair ATPase MSH2"
"NP_014552.1","YOL089C","HAL9",3093,150398,153490,"protein_coding","Hal9p"
"NP_014553.1","YOL088C","MPD2",834,153912,154745,"protein_coding","protein disulfide isomerase MPD2"
"NP_014554.1","YOL087C","DUF1",3351,155287,158637,"protein_coding","Duf1p"
"NP_076910.1","YOL086W-A","MHF1",273,159173,159445,"protein_coding","Mhf1p"
"NP_014555.1","YOL086C","ADH1",1047,159548,160594,"protein_coding","alcohol dehydrogenase ADH1"
"NP_001335813.1","YOL085C",NA,342,161673,162014,"protein_coding","hypothetical protein"
"NP_014557.1","YOL084W","PHM7",2976,162356,165331,"protein_coding","Phm7p"
"NP_014558.1","YOL083W","ATG34",1239,165714,166952,"protein_coding","Atg34p"
"NP_014559.1","YOL082W","ATG19",1248,168727,169974,"protein_coding","Atg19p"
"NP_014560.1","YOL081W","IRA2",9240,171070,180309,"protein_coding","Ras GTPase activating protein IRA2"
"NP_014561.1","YOL080C","REX4",870,180558,181427,"protein_coding","putative 3'-5' exonuclease"
"NP_014563.1","YOL078W","AVO1",3531,181682,185212,"protein_coding","Avo1p"
"NP_014564.1","YOL077W-A","ATP19",207,185438,185644,"protein_coding","F1F0 ATP synthase subunit k"
"NP_014565.2","YOL077C","BRX1",876,185848,186723,"protein_coding","Brx1p"
"NP_014566.1","YOL076W","MDM20",2391,187024,189414,"protein_coding","Mdm20p"
"NP_014567.2","YOL075C",NA,3885,189658,193542,"protein_coding","hypothetical protein"
"NP_014568.1","YOL073C","DSC2",969,193832,194800,"protein_coding","Dsc2p"
"NP_014569.1","YOL072W","THP1",1368,194970,196337,"protein_coding","Thp1p"
"NP_014570.1","YOL071W","SDH5",489,196507,196995,"protein_coding","succinate dehydrogenase assembly factor SDH5"
"NP_014571.1","YOL070C","NBA1",1506,197220,198725,"protein_coding","Nba1p"
"NP_014572.1","YOL069W","NUF2",1356,198942,200297,"protein_coding","kinetochore-associated Ndc80 complex subunit NUF2"
"NP_014573.1","YOL068C","HST1",1512,200368,201879,"protein_coding","histone deacetylase HST1"
"NP_014574.1","YOL067C","RTG1",534,201985,202518,"protein_coding","Rtg1p"
"NP_014575.1","YOL066C","RIB2",1776,202696,204471,"protein_coding","bifunctional DRAP deaminase/tRNA pseudouridine synthase RIB2"
"NP_014576.1","YOL065C","INP54",1155,204731,205885,"protein_coding","phosphoinositide 5-phosphatase INP54"
"NP_014577.1","YOL064C","MET22",1074,206103,207176,"protein_coding","3'(2'),5'-bisphosphate nucleotidase"
"NP_014578.1","YOL063C","CRT10",2874,207392,210265,"protein_coding","Crt10p"
"NP_014579.1","YOL062C","APM4",1476,210520,211995,"protein_coding","Apm4p"
"NP_014580.1","YOL061W","PRS5",1491,212244,213734,"protein_coding","ribose phosphate diphosphokinase subunit PRS5"
"NP_014581.1","YOL060C","MAM3",2121,214017,216137,"protein_coding","Mam3p"
"NP_014582.1","YOL059W","GPD2",1323,217126,218448,"protein_coding","glycerol-3-phosphate dehydrogenase (NAD(+)) GPD2"
"NP_014583.2","YOL058W","ARG1",1263,219211,220473,"protein_coding","argininosuccinate synthase"
"NP_014584.1","YOL057W",NA,2136,220767,222902,"protein_coding","dipeptidyl-peptidase III"
"NP_014585.1","YOL056W","GPM3",912,223268,224179,"protein_coding","phosphoglycerate mutase family protein GPM3"
"NP_014586.1","YOL055C","THI20",1656,224420,226075,"protein_coding","trifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase/thiaminase"
"NP_014587.1","YOL054W","PSH1",1221,228614,229834,"protein_coding","ubiquitin-protein ligase PSH1"
"NP_014588.1","YOL053W","AIM39",1188,230085,231272,"protein_coding","Aim39p"
"NP_014589.1","YOL052C-A","DDR2",186,231570,231755,"protein_coding","Ddr2p"
"NP_014590.1","YOL052C","SPE2",1191,232446,233636,"protein_coding","adenosylmethionine decarboxylase SPE2"
"NP_014591.1","YOL051W","GAL11",3246,234940,238185,"protein_coding","Gal11p"
"NP_014593.1","YOL049W","GSH2",1476,238619,240094,"protein_coding","glutathione synthase"
"NP_014597.1","YOL045W","PSK2",3306,243497,246802,"protein_coding","serine/threonine protein kinase PSK2"
"NP_014598.1","YOL044W","PEX15",1152,247150,248301,"protein_coding","Pex15p"
"NP_014599.1","YOL043C","NTG2",1143,248392,249534,"protein_coding","bifunctional N-glycosylase/AP lyase NTG2"
"NP_014600.1","YOL042W","NGL1",1092,249825,250916,"protein_coding","RNA exonuclease"
"NP_014601.1","YOL041C","NOP12",1380,251267,252646,"protein_coding","Nop12p"
"NP_014602.1","YOL040C","RPS15",429,253149,253577,"protein_coding","ribosomal 40S subunit protein S15"
"NP_014603.1","YOL039W","RPP2A",321,254297,254617,"protein_coding","ribosomal protein P2A"
"NP_878164.1","YOL038C-A",NA,96,254926,255021,"protein_coding","hypothetical protein"
"NP_014604.1","YOL038W","PRE6",765,255337,256101,"protein_coding","proteasome core particle subunit alpha 4"
"NP_014606.1","YOL036W",NA,2286,256745,259030,"protein_coding","hypothetical protein"
"NP_014608.1","YOL034W","SMC5",3282,259923,263204,"protein_coding","DNA repair ATPase SMC5"
"NP_014609.1","YOL033W","MSE1",1611,263475,265085,"protein_coding","glutamate--tRNA ligase MSE1"
"NP_014610.1","YOL032W","OPI10",741,265429,266169,"protein_coding","Opi10p"
"NP_014611.1","YOL031C","SIL1",1266,266264,267529,"protein_coding","Sil1p"
"NP_014612.1","YOL030W","GAS5",1455,268187,269641,"protein_coding","1,3-beta-glucanosyltransferase"
"NP_014613.1","YOL029C",NA,606,269815,270420,"protein_coding","hypothetical protein"
"NP_014614.1","YOL028C","YAP7",738,270633,271370,"protein_coding","Yap7p"
"NP_014615.1","YOL027C","MDM38",1722,272003,273724,"protein_coding","ribosome-binding protein MDM38"
"NP_014616.1","YOL026C","MIM1",342,274012,274353,"protein_coding","Mim1p"
"NP_014617.1","YOL025W","LAG2",1983,274957,276939,"protein_coding","Lag2p"
"NP_014618.1","YOL024W",NA,519,277086,277604,"protein_coding","hypothetical protein"
"NP_014619.1","YOL023W","IFM1",2031,278056,280086,"protein_coding","translation initiation factor 2"
"NP_014620.1","YOL022C","TSR4",1227,280272,281498,"protein_coding","Tsr4p"
"NP_014621.1","YOL021C","DIS3",3006,282421,285426,"protein_coding","exosome catalytic subunit DIS3"
"NP_014622.1","YOL020W","TAT2",1779,286172,287950,"protein_coding","aromatic amino acid transmembrane transporter TAT2"
"NP_878165.1","YOL019W-A",NA,153,288420,288572,"protein_coding","hypothetical protein"
"NP_014623.1","YOL019W",NA,1656,288898,290553,"protein_coding","hypothetical protein"
"NP_014624.1","YOL018C","TLG2",1194,290881,292074,"protein_coding","Tlg2p"
"NP_014625.1","YOL017W","ESC8",2145,292529,294673,"protein_coding","Esc8p"
"NP_014626.1","YOL016C","CMK2",1344,294777,296120,"protein_coding","calmodulin-dependent protein kinase CMK2"
"NP_014627.1","YOL015W","IRC10",1761,297078,298838,"protein_coding","Irc10p"
"NP_014628.1","YOL014W",NA,375,299693,300067,"protein_coding","hypothetical protein"
"NP_878166.1","YOL013W-A","YOL013W-B",192,301047,301238,"protein_coding","hypothetical protein"
"NP_014630.1","YOL013C","HRD1",1656,301380,303035,"protein_coding","E3 ubiquitin-protein ligase HRD1"
"NP_014631.1","YOL012C","HTZ1",405,303579,303983,"protein_coding","histone H2AZ"
"NP_014632.1","YOL011W","PLB3",2061,305349,307409,"protein_coding","lysophospholipase"
"NP_014633.1","YOL010W","RCL1",1104,307938,309041,"protein_coding","rRNA-processing endoribonuclease"
"NP_014634.1","YOL009C","MDM12",816,309324,310139,"protein_coding","ERMES complex subunit MDM12"
"NP_014635.1","YOL008W","COQ10",624,310312,310935,"protein_coding","ubiquinone-binding protein COQ10"
"NP_014636.1","YOL007C","CSI2",1026,311342,312367,"protein_coding","Csi2p"
"NP_014637.1","YOL006C","TOP1",2310,313078,315387,"protein_coding","DNA topoisomerase 1"
"NP_014638.1","YOL005C","RPB11",363,315813,316175,"protein_coding","DNA-directed RNA polymerase II core subunit RPB11"
"NP_014639.1","YOL004W","SIN3",4611,316938,321548,"protein_coding","transcriptional regulator SIN3"
"NP_014640.1","YOL003C","PFA4",1137,321858,322994,"protein_coding","palmitoyltransferase PFA4"
"NP_014641.2","YOL002C","IZH2",954,323411,324364,"protein_coding","PAQR-type receptor"
"NP_014642.1","YOL001W","PHO80",882,325249,326130,"protein_coding","Pho80p"
"NP_014643.1","YOR001W","RRP6",2202,326832,329033,"protein_coding","exosome nuclease subunit RRP6"
"NP_014644.1","YOR002W","ALG6",1635,329417,331051,"protein_coding","dolichyl-P-Glc:Man(9)GlcNAc(2)-PP-dolichol alpha-1,3-glucosyltransferase"
"NP_014645.1","YOR003W","YSP3",1437,331455,332891,"protein_coding","putative subtilisin-like protease YSP3"
"NP_014646.1","YOR004W","UTP23",765,333592,334356,"protein_coding","rRNA-binding ribosome biosynthesis protein UTP23"
"NP_014647.1","YOR005C","DNL4",2835,334509,337343,"protein_coding","DNA ligase (ATP) DNL4"
"NP_014648.1","YOR006C","TSR3",942,337680,338621,"protein_coding","Tsr3p"
"NP_014649.1","YOR007C","SGT2",1041,338938,339978,"protein_coding","Sgt2p"
"NP_014650.1","YOR008C","SLG1",1137,341278,342414,"protein_coding","Slg1p"
"NP_014651.1","YOR008C-A",NA,225,342857,343081,"protein_coding","hypothetical protein"
"NP_014652.1","YOR009W","TIR4",1464,344335,345798,"protein_coding","Tir4p"
"NP_014653.1","YOR010C","TIR2",756,346195,346950,"protein_coding","putative GPI-anchored mannoprotein"
"NP_014654.1","YOR011W","AUS1",4185,349679,353863,"protein_coding","ATP-binding cassette sterol transporter AUS1"
"NP_878167.1","YOR011W-A",NA,207,355652,355858,"protein_coding","hypothetical protein"
"NP_014655.1","YOR012W",NA,414,356543,356956,"protein_coding","hypothetical protein"
"NP_014657.1","YOR014W","RTS1",2274,357674,359947,"protein_coding","protein phosphatase 2A regulatory subunit RTS1"
"NP_001335814.1","YOR015W",NA,360,359993,360352,"protein_coding","hypothetical protein"
"NP_014659.1","YOR016C","ERP4",624,360461,361084,"protein_coding","Erp4p"
"NP_014660.1","YOR017W","PET127",2403,361412,363814,"protein_coding","Pet127p"
"NP_014661.1","YOR018W","ROD1",2514,364369,366882,"protein_coding","Rod1p"
"NP_014662.1","YOR019W",NA,2193,368127,370319,"protein_coding","hypothetical protein"
"NP_014663.1","YOR020C","HSP10",321,370524,370844,"protein_coding","Hsp10p"
"NP_878168.1","YOR020W-A",NA,273,371685,371957,"protein_coding","hypothetical protein"
"NP_014664.1","YOR021C","SFM1",642,372798,373439,"protein_coding","protein-arginine N-methyltransferase SFM1"
"NP_014665.1","YOR022C","DDL1",2148,373710,375857,"protein_coding","putative carboxylic ester hydrolase"
"NP_014666.1","YOR023C","AHC1",1701,376012,377712,"protein_coding","Ahc1p"
"NP_014668.1","YOR025W","HST3",1344,378219,379562,"protein_coding","NAD-dependent histone deacetylase HST3"
"NP_014669.1","YOR026W","BUB3",1026,379781,380806,"protein_coding","Bub3p"
"NP_014670.1","YOR027W","STI1",1770,381053,382822,"protein_coding","Hsp90 cochaperone STI1"
"NP_014671.1","YOR028C","CIN5",888,383533,384420,"protein_coding","Cin5p"
"NP_001335815.1","YOR029W",NA,336,384600,384935,"protein_coding","hypothetical protein"
"NP_014673.1","YOR030W","DFG16",1860,386825,388684,"protein_coding","Dfg16p"
"NP_014675.1","YOR032C","HMS1",1305,389771,391075,"protein_coding","Hms1p"
"NP_878169.1","YOR032W-A",NA,201,392176,392376,"protein_coding","hypothetical protein"
"NP_014676.1","YOR033C","EXO1",2109,392416,394524,"protein_coding","Rad2 family nuclease EXO1"
"NP_014677.1","YOR034C","AKR2",2250,394837,397086,"protein_coding","putative palmitoyltransferase AKR2"
"NP_878170.1","YOR034C-A",NA,243,397426,397668,"protein_coding","hypothetical protein"
"NP_014678.1","YOR035C","SHE4",2370,397735,400104,"protein_coding","She4p"
"NP_014679.1","YOR036W","PEP12",867,400348,401214,"protein_coding","SNAP receptor PEP12"
"NP_014680.2","YOR037W","CYC2",1101,401555,402655,"protein_coding","oxidoreductase"
"NP_014681.1","YOR038C","HIR2",2628,402761,405388,"protein_coding","Hir2p"
"NP_014682.1","YOR039W","CKB2",777,405768,406544,"protein_coding","casein kinase 2 regulatory subunit CKB2"
"NP_014683.1","YOR040W","GLO4",858,407064,407921,"protein_coding","hydroxyacylglutathione hydrolase GLO4"
"NP_014685.1","YOR042W","CUE5",1236,408425,409660,"protein_coding","ubiquitin-binding protein CUE5"
"NP_014686.1","YOR043W","WHI2",1461,410870,412330,"protein_coding","Whi2p"
"NP_014687.1","YOR044W","IRC23",474,413007,413480,"protein_coding","Irc23p"
"NP_014688.1","YOR045W","TOM6",186,413852,414037,"protein_coding","Tom6p"
"NP_014689.1","YOR046C","DBP5",1449,414459,415907,"protein_coding","ATP-dependent RNA helicase DBP5"
"NP_014690.1","YOR047C","STD1",1335,416347,417681,"protein_coding","Std1p"
"NP_014691.1","YOR048C","RAT1",3021,418630,421650,"protein_coding","ssRNA exonuclease RAT1"
"NP_014692.1","YOR049C","RSB1",1065,422668,423732,"protein_coding","phospholipid-translocating ATPase RSB1"
"NP_014694.1","YOR051C","ETT1",1239,424846,426084,"protein_coding","Ett1p"
"NP_014695.1","YOR052C","TMC1",453,426772,427224,"protein_coding","Tmc1p"
"NP_014697.1","YOR054C","VHS3",2025,427833,429857,"protein_coding","phosphopantothenoylcysteine decarboxylase complex subunit VHS3"
"NP_014699.1","YOR056C","NOB1",1380,430247,431626,"protein_coding","rRNA-binding endoribonuclease"
"NP_014700.1","YOR057W","SGT1",1188,432186,433373,"protein_coding","co-chaperone SGT1"
"NP_116582.1","YOR058C","ASE1",2658,433688,436345,"protein_coding","Ase1p"
"NP_014702.1","YOR059C","LPL1",1353,438906,440258,"protein_coding","putative hydrolase"
"NP_014703.1","YOR060C","SLD7",774,440390,441163,"protein_coding","Sld7p"
"NP_014704.1","YOR061W","CKA2",1020,441534,442553,"protein_coding","casein kinase 2 catalytic subunit CKA2"
"NP_014705.1","YOR062C","YOR29-13",807,442725,443531,"protein_coding","hypothetical protein"
"NP_014706.1","YOR063W","RPL3",1164,444686,445849,"protein_coding","ribosomal 60S subunit protein L3"
"NP_014707.1","YOR064C","YNG1",660,446079,446738,"protein_coding","Yng1p"
"NP_014708.1","YOR065W","CYT1",930,447439,448368,"protein_coding","ubiquinol--cytochrome-c reductase catalytic subunit CYT1"
"NP_014709.1","YOR066W","MSA1",1890,449436,451325,"protein_coding","Msa1p"
"NP_014710.1","YOR067C","ALG8",1734,451729,453462,"protein_coding","dolichyl-P-Glc:Glc1Man(9)GlcNAc(2)-PP-dolichol alpha-1,3-glucosyltransferase"
"NP_014712.2","YOR069W","VPS5",2028,453768,455795,"protein_coding","sorting nexin 1"
"NP_014711.1","YOR068C","VAM10",345,453869,454213,"protein_coding","Vam10p"
"NP_014713.1","YOR070C","GYP1",1914,455907,457820,"protein_coding","Gyp1p"
"NP_014714.1","YOR071C","NRT1",1797,459480,461276,"protein_coding","nicotinamide riboside transporter"
"NP_001335816.1","YOR072W","YOR29-23",315,461502,461816,"protein_coding","hypothetical protein"
"NP_878171.1","YOR072W-B",NA,162,464469,464630,"protein_coding","hypothetical protein"
"NP_014716.1","YOR073W","SGO1",1773,464771,466543,"protein_coding","Sgo1p"
"NP_014717.2","YOR074C","CDC21",915,466675,467589,"protein_coding","thymidylate synthase"
"NP_014718.1","YOR075W","UFE1",1041,468212,469252,"protein_coding","Ufe1p"
"NP_014719.1","YOR076C","SKI7",2244,469377,471620,"protein_coding","Ski7p"
"NP_014720.1","YOR077W","RTS2",699,471899,472597,"protein_coding","Rts2p"
"NP_014721.1","YOR078W","BUD21",645,472725,473369,"protein_coding","Bud21p"
"NP_014722.1","YOR079C","ATX2",942,473475,474416,"protein_coding","Mn(2+) transporter ATX2"
"NP_014723.2","YOR080W","DIA2",2199,474594,476792,"protein_coding","DNA-binding SCF ubiquitin ligase subunit DIA2"
"NP_014724.1","YOR081C","TGL5",2250,476939,479188,"protein_coding","Tgl5p"
"NP_014726.1","YOR083W","WHI5",888,479533,480420,"protein_coding","transcriptional repressor WHI5"
"NP_014727.1","YOR084W","LPX1",1164,480587,481750,"protein_coding","triglyceride lipase"
"NP_014728.1","YOR085W","OST3",1053,482033,483085,"protein_coding","dolichyl-diphosphooligosaccharide--protein glycotransferase OST3"
"NP_014729.1","YOR086C","TCB1",3561,483219,486779,"protein_coding","tricalbin"
"NP_014730.2","YOR087W","YVC1",2028,487707,489734,"protein_coding","Yvc1p"
"NP_014732.1","YOR089C","VPS21",633,490196,490828,"protein_coding","Rab family GTPase VPS21"
"NP_014733.1","YOR090C","PTC5",1719,491123,492841,"protein_coding","type 2C protein phosphatase PTC5"
"NP_014734.2","YOR091W","TMA46",1038,493433,494470,"protein_coding","Tma46p"
"NP_014735.1","YOR092W","ECM3",1842,495127,496968,"protein_coding","putative ATPase ECM3"
"NP_014736.1","YOR093C","CMR2",4947,497506,502452,"protein_coding","Cmr2p"
"NP_014737.1","YOR094W","ARF3",552,502795,503346,"protein_coding","Arf family GTPase ARF3"
