Entry,Protein names,Gene names  (ordered locus ),Gene ontology (biological process)
P48365,GTPase-activating protein GYP7 (GAP for YPT7),YDL234C,"activation of GTPase activity [GO:0090630]; intracellular protein transport [GO:0006886]; regulation of vacuole fusion, non-autophagic [GO:0032889]; vesicle-mediated transport [GO:0016192]"
P32806,GTPase-activating protein GYP6 (GAP for YPT6),YJL044C,activation of GTPase activity [GO:0090630]; intracellular protein transport [GO:0006886]
Q12180,Halotolerance protein 9,YOL089C,"positive regulation of transcription by RNA polymerase II [GO:0045944]; response to salt stress [GO:0009651]; transcription, DNA-templated [GO:0006351]"
P41546,Transcriptional activator HAC1,YFL031W,endoplasmic reticulum unfolded protein response [GO:0030968]; negative regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle [GO:0010674]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response [GO:0006990]; response to endoplasmic reticulum stress [GO:0034976]
Q96VH4,Putative nitroreductase HBN1 (EC 1.-.-.-) (Homologous to bacterial nitroreductases protein 1),YCL026C-B,cellular response to oxidative stress [GO:0034599]
Q07653,Protein HBT1 (HUB1 target protein 1),YDL223C,cell morphogenesis involved in conjugation with cellular fusion [GO:0000753]; regulation of cell shape [GO:0008360]
P25364,Forkhead transcription factor HCM1 (High-copy suppressor of calmodulin protein 1),YCR065W,cellular response to oxidative stress [GO:0034599]; mitochondrion organization [GO:0007005]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; spindle pole body organization [GO:0051300]
P53067,Importin subunit beta-5 (114 kDa karyopherin) (Karyopherin subunit beta-5) (Karyopherin-114),YGL241W,mRNA transport [GO:0051028]; protein import into nucleus [GO:0006606]
Q00582,GTP-binding protein GTR1,YML121W,cellular response to amino acid stimulus [GO:0071230]; cellular response to starvation [GO:0009267]; chromatin silencing at telomere [GO:0006348]; negative regulation of autophagy [GO:0010507]; phosphate ion transport [GO:0006817]; positive regulation of TORC1 signaling [GO:1904263]; positive regulation of TOR signaling [GO:0032008]; protein localization to vacuolar membrane [GO:1903778]; protein transport [GO:0015031]; regulation of autophagy [GO:0010506]; transcription by RNA polymerase I [GO:0006360]; transcription by RNA polymerase III [GO:0006383]
P23337,Glycogen [starch] synthase isoform 1 (EC 2.4.1.11),YFR015C,glycogen biosynthetic process [GO:0005978]
Q12344,GTPase-activating protein GYP5,YPL249C,activation of GTPase activity [GO:0090630]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; exocytosis [GO:0006887]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]
P40531,Protein GVP36 (36 kDa Golgi vesicle protein),YIL041W,endocytosis [GO:0006897]; establishment or maintenance of actin cytoskeleton polarity [GO:0030950]; vacuole organization [GO:0007033]
P50095,Inosine-5'-monophosphate dehydrogenase 3 (IMP dehydrogenase 3) (IMPD 3) (IMPDH 3) (EC 1.1.1.205),YLR432W,GMP biosynthetic process [GO:0006177]; GTP biosynthetic process [GO:0006183]
Q12692,Histone H2A.Z,YOL012C,"chromatin organization [GO:0006325]; chromatin remodeling [GO:0006338]; chromatin silencing at silent mating-type cassette [GO:0030466]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; regulation of transcription by RNA polymerase II [GO:0006357]"
P02309,Histone H4,YBR009C; YNL030W,chromatin assembly or disassembly [GO:0006333]; histone H3-K79 methylation [GO:0034729]; nucleosome assembly [GO:0006334]; sexual sporulation resulting in formation of a cellular spore [GO:0043935]; transfer RNA gene-mediated silencing [GO:0061587]
Q12341,Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48),YPL001W,chromatin silencing at telomere [GO:0006348]; DNA repair [GO:0006281]; histone acetylation [GO:0016573]; histone H4 acetylation [GO:0043967]
P25333,Serine/threonine-protein kinase HAL4/SAT4 (EC 2.7.11.1) (Halotolerance protein 4),YCR008W,cellular cation homeostasis [GO:0030003]; cellular protein localization [GO:0034613]; G1/S transition of mitotic cell cycle [GO:0000082]; intracellular signal transduction [GO:0035556]; protein dephosphorylation [GO:0006470]; protein lipoylation [GO:0009249]; protein phosphorylation [GO:0006468]; regulation of iron-sulfur cluster assembly [GO:1903329]
P39984,Histone acetyltransferase type B subunit 2,YEL056W,chromatin assembly or disassembly [GO:0006333]; chromatin silencing at telomere [GO:0006348]; histone acetylation [GO:0016573]
P28789,Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase),YDL205C,heme biosynthetic process [GO:0006783]; peptidyl-pyrromethane cofactor linkage [GO:0018160]; protoporphyrinogen IX biosynthetic process [GO:0006782]
P06174,Uroporphyrinogen-III synthase (UROIIIS) (UROS) (EC 4.2.1.75) (Hydroxymethylbilane hydrolyase [cyclizing]) (Uroporphyrinogen-III cosynthase),YOR278W,heme biosynthetic process [GO:0006783]; protoporphyrinogen IX biosynthetic process [GO:0006782]; uroporphyrinogen III biosynthetic process [GO:0006780]
Q03532,ATP-dependent RNA helicase HAS1 (EC 3.6.4.13) (Helicase associated with SET1 protein 1),YMR290C,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosomal large subunit biogenesis [GO:0042273]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]; snoRNA release from pre-rRNA [GO:1990417]"
P40956,Protein GTS1 (Protein LSR1),YGL181W,endocytosis [GO:0006897]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; intra-Golgi vesicle-mediated transport [GO:0006891]; negative regulation of phosphatidylinositol biosynthetic process [GO:0010512]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; ultradian rhythm [GO:0007624]
P48566,GTPase-activating protein GYP3 (Multicopy suppressor of bud emergence 3) (Protein MSB3),YNL293W,activation of GTPase activity [GO:0090630]; endocytosis [GO:0006897]; exocytosis [GO:0006887]; formin-nucleated actin cable assembly [GO:0070649]; intracellular protein transport [GO:0006886]; regulation of GTPase activity [GO:0043087]; regulation of protein localization [GO:0032880]
P61830,Histone H3,YBR010W; YNL031C,chromatin assembly or disassembly [GO:0006333]; global genome nucleotide-excision repair [GO:0070911]; rRNA transcription [GO:0009303]; sexual sporulation resulting in formation of a cellular spore [GO:0043935]
P38970,Serine/threonine-protein kinase HAL5 (EC 2.7.11.1) (Halotolerance protein 5),YJL165C,cellular cation homeostasis [GO:0030003]; cellular protein localization [GO:0034613]; intracellular signal transduction [GO:0035556]; protein dephosphorylation [GO:0006470]; protein phosphorylation [GO:0006468]
Q04458,Fatty aldehyde dehydrogenase HFD1 (EC 1.2.1.3),YMR110C,aldehyde catabolic process [GO:0046185]; cellular aldehyde metabolic process [GO:0006081]; sphingolipid metabolic process [GO:0006665]; ubiquinone biosynthetic process from tyrosine [GO:0032180]
Q07729,Probable guanine deaminase (Guanase) (Guanine aminase) (EC 3.5.4.3) (Guanine aminohydrolase) (GAH),YDL238C,guanine catabolic process [GO:0006147]; guanine metabolic process [GO:0046098]
P43570,GTPase-activating protein GYP8,YFL027C,endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; vesicle-mediated transport [GO:0016192]
Q04322,Probable GTPase-activating protein GYL1 (GYP5-like protein 1),YMR192W,endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; exocytosis [GO:0006887]; protein transport [GO:0015031]; regulation of exocytosis [GO:0017157]
P27472,Glycogen [starch] synthase isoform 2 (EC 2.4.1.11),YLR258W,glycogen biosynthetic process [GO:0005978]
P02294,Histone H2B.2,YBL002W,chromatin assembly or disassembly [GO:0006333]
Q08485,Nicotinamide riboside transporter 1 (Thiamine transport protein 71),YOR071C,5-amino-1-ribofuranosylimidazole-4-carboxamide transmembrane transport [GO:1903088]; nicotinamide riboside transport [GO:0034258]; thiamine transport [GO:0015888]
P34166,Mating hormone A-factor 2,YNL145W,pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]
P43638,MAP-homologous protein 1,YJL042W,fungal-type cell wall organization [GO:0031505]; negative regulation of microtubule depolymerization [GO:0007026]
P36046,Mitochondrial intermembrane space import and assembly protein 40 (Mitochondrial import inner membrane translocase TIM40),YKL195W,protein folding [GO:0006457]; protein import into mitochondrial intermembrane space [GO:0045041]; protein maturation by protein folding [GO:0022417]
Q07913,Non-structural maintenance of chromosomes element 1 (Non-SMC element 1) (EC 2.3.2.27),YLR007W,DNA repair [GO:0006281]; double-strand break repair via homologous recombination [GO:0000724]; postreplication repair [GO:0006301]; protein sumoylation [GO:0016925]
P38632,E3 SUMO-protein ligase MMS21 (EC 2.3.2.-) (E3 SUMO-protein transferase MMS21) (Methyl methanesulfonate-sensitivity protein 21) (Non-structural maintenance of chromosome element 2) (Non-SMC element 2),YEL019C,DNA double-strand break attachment to nuclear envelope [GO:1990683]; DNA repair [GO:0006281]; double-strand break repair via homologous recombination [GO:0000724]
Q05541,Non-structural maintenance of chromosome element 3 (Non-SMC element 3),YDR288W,DNA recombination [GO:0006310]; DNA repair [GO:0006281]; protein sumoylation [GO:0016925]
P43124,Non-structural maintenance of chromosome element 4 (Non-SMC element 4) (Protein QRI2),YDL105W,DNA recombination [GO:0006310]; DNA repair [GO:0006281]; positive regulation of response to DNA damage stimulus [GO:2001022]; protein sumoylation [GO:0016925]
Q03718,Non-structural maintenance of chromosome element 5 (Non-SMC element 5),YML023C,DNA recombination [GO:0006310]; DNA repair [GO:0006281]; protein sumoylation [GO:0016925]
P36112,MICOS complex subunit MIC60 (Altered inheritance of mitochondria protein 28) (Formation of crista junctions protein 1) (Found in mitochondrial proteome protein 13) (Mitofilin),YKR016W,cristae formation [GO:0042407]; protein import into mitochondrial intermembrane space [GO:0045041]
P33895,Kinetochore protein NUF2,YOL069W,attachment of mitotic spindle microtubules to kinetochore [GO:0051315]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; kinetochore organization [GO:0051383]; meiotic chromosome segregation [GO:0045132]; microtubule nucleation [GO:0007020]; mitotic spindle organization [GO:0007052]
P40010,Nuclear GTP-binding protein NUG1 (Nuclear GTPase 1),YER006W,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; ribosomal large subunit export from nucleus [GO:0000055]"
P36044,Protein MNN4,YKL201C,protein N-linked glycosylation [GO:0006487]; protein O-linked glycosylation [GO:0006493]
P23060,Protein MAK32 (Maintenance of killer protein 32),YCR019W,interspecies interaction between organisms [GO:0044419]
Q04341,Mitochondrial intermembrane space cysteine motif-containing protein MIX14 (Mitochondrial intermembrane space CX(n)C motif protein of 14 kDa),YDR031W,aerobic respiration [GO:0009060]
Q03667,Mitochondrial intermembrane space cysteine motif-containing protein MIX17 (Mitochondrial intermembrane space CX(n)C motif protein of 17 kDa),YMR002W,aerobic respiration [GO:0009060]; mitochondrion organization [GO:0007005]
P40850,Protein MKT1,YNL085W,cellular response to DNA damage stimulus [GO:0006974]; DNA repair [GO:0006281]; interspecies interaction between organisms [GO:0044419]
Q06580,Myosin light chain 2 (Calmodulin-like myosin light chain MLC2) (MYO1 light chain 2) (Myosin-1 light chain),YPR188C,actomyosin contractile ring contraction [GO:0000916]
P38920,DNA mismatch repair protein MLH1 (MutL protein homolog 1) (Post meiotic segregation protein 2),YMR167W,meiotic heteroduplex formation [GO:0000713]; meiotic mismatch repair [GO:0000710]; mismatch repair [GO:0006298]; reciprocal meiotic recombination [GO:0007131]
Q12372,S-methylmethionine permease 1,YLL061W,amino acid transport [GO:0006865]; S-methylmethionine transport [GO:0015806]
Q00402,Nuclear migration protein NUM1,YDR150W,cortical protein anchoring [GO:0032065]; dynein-driven meiotic oscillatory nuclear movement [GO:0030989]; microtubule cytoskeleton organization [GO:0000226]; mitochondrial fission [GO:0000266]; mitochondrion inheritance [GO:0000001]; mitochondrion localization [GO:0051646]; nuclear migration along microtubule [GO:0030473]
P38158,Alpha-glucosidase MAL32 (EC 3.2.1.20) (Maltase),YBR299W,disaccharide catabolic process [GO:0046352]; maltose catabolic process [GO:0000025]; oligosaccharide catabolic process [GO:0009313]; sucrose catabolic process [GO:0005987]
P47035,Nucleolar protein NET1,YJL076W,chromatin silencing at rDNA [GO:0000183]; negative regulation of septation initiation signaling [GO:0031030]; nucleolus organization [GO:0007000]; regulation of exit from mitosis [GO:0007096]
Q08972,[NU+] prion formation protein 1,YPL226W,poly(A)+ mRNA export from nucleus [GO:0016973]; ribosomal small subunit biogenesis [GO:0042274]
Q12285,Ubiquitin-like protein MDY2 (Golgi to ER traffic protein 5) (Mating-deficient protein 2) (Translation machinery-associated protein 24),YOL111C,cell morphogenesis involved in conjugation with cellular fusion [GO:0000753]; posttranslational protein targeting to endoplasmic reticulum membrane [GO:0006620]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein insertion into ER membrane [GO:0045048]
Q06213,Mediator of RNA polymerase II transcription subunit 10 (Mediator complex subunit 10) (Negative regulator of URS2 protein 2),YPR168W,negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; RNA polymerase II preinitiation complex assembly [GO:0051123]
P40957,Spindle assembly checkpoint component MAD1 (Mitotic arrest deficient protein 1),YGL086W,activation of mitotic cell cycle spindle assembly checkpoint [GO:0090268]; attachment of mitotic spindle microtubules to kinetochore [GO:0051315]; cell division [GO:0051301]; mitotic DNA integrity checkpoint [GO:0044774]; mitotic spindle assembly checkpoint [GO:0007094]; negative regulation of protein import into nucleus during spindle assembly checkpoint [GO:1901925]; nucleocytoplasmic transport [GO:0006913]
Q06436,RING-finger protein MAG2,YLR427W,
P0CW41,"Oligo-1,6-glucosidase IMA4 (EC 3.2.1.10) (Alpha-glucosidase) (Flocculent-specific protein 2) (Isomaltase 4)",YJL221C,disaccharide catabolic process [GO:0046352]; maltose catabolic process [GO:0000025]; oligosaccharide catabolic process [GO:0009313]; sucrose catabolic process [GO:0005987]
P47164,Cystathionine gamma-synthase (EC 2.5.1.48) (O-succinylhomoserine (thiol)-lyase) (Sulfur transfer protein 2),YJR130C,methionine biosynthetic process [GO:0009086]; sulfur compound metabolic process [GO:0006790]; transsulfuration [GO:0019346]
P40002,Transcriptional regulator MIT1,YEL007W,
P32490,MAP kinase kinase MKK1/SSP32 (EC 2.7.12.2),YOR231W,activation of protein kinase activity [GO:0032147]; autophagy of peroxisome [GO:0030242]; cell wall integrity MAPK cascade [GO:0000196]; protein phosphorylation [GO:0006468]; regulation of fungal-type cell wall organization [GO:0060237]; signal transduction [GO:0007165]; signal transduction by protein phosphorylation [GO:0023014]; stress-activated protein kinase signaling cascade [GO:0031098]
Q08970,Mitochondrial metal transporter 2,YPL224C,cellular iron ion homeostasis [GO:0006879]
P38888,ER degradation-enhancing alpha-mannosidase-like protein 1 (EC 3.2.1.24),YHR204W,"endoplasmic reticulum mannose trimming [GO:1904380]; mannose trimming involved in glycoprotein ERAD pathway [GO:1904382]; protein alpha-1,2-demannosylation [GO:0036508]; protein glycosylation [GO:0006486]; response to unfolded protein [GO:0006986]; ubiquitin-dependent glycoprotein ERAD pathway [GO:0097466]"
Q12205,Putative endoplasmic reticulum mannosidase MNL2 (EC 3.2.1.-) (Mannosidase-like protein 2),YLR057W,N-glycan processing [GO:0006491]; protein glycosylation [GO:0006486]; ubiquitin-dependent ERAD pathway [GO:0030433]
P38174,Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18) (Peptidase M),YBL091C,protein initiator methionine removal involved in protein maturation [GO:0035551]
P0CW40,"Oligo-1,6-glucosidase IMA3 (EC 3.2.1.10) (Alpha-glucosidase) (Isomaltase 3)",YIL172C,disaccharide catabolic process [GO:0046352]; maltose catabolic process [GO:0000025]; oligosaccharide catabolic process [GO:0009313]; sucrose catabolic process [GO:0005987]
P19358,S-adenosylmethionine synthase 2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2) (MAT 2),YDR502C,methionine metabolic process [GO:0006555]; one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556]
P32787,Mitochondrial genome maintenance protein MGM101,YJR144W,DNA repair [GO:0006281]; DNA strand renaturation [GO:0000733]; interstrand cross-link repair [GO:0036297]; mitochondrial genome maintenance [GO:0000002]; recombinational repair [GO:0000725]
P40578,Protein MGA2,YIR033W,cellular response to cold [GO:0070417]; chromatin silencing at silent mating-type cassette [GO:0030466]; mRNA stabilization [GO:0048255]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to cobalt ion [GO:0061399]; positive regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061419]; positive regulation of transcription from RNA polymerase II promoter in response to iron ion starvation [GO:0036086]; positive regulation of unsaturated fatty acid biosynthetic process by positive regulation of transcription from RNA polymerase II promoter [GO:0036083]
P28321,Monoglyceride lipase (MGL) (EC 3.1.1.23) (Monoacylglycerol hydrolase) (MAG hydrolase) (MGH) (Monoacylglycerol lipase) (MAG lipase) (MAGL) (Serine hydrolase YJU3),YKL094W,triglyceride catabolic process [GO:0019433]; triglyceride metabolic process [GO:0006641]
P38341,"MICOS complex subunit MIC12 (Altered inheritance of mitochondria protein 5, mitochondrial) (Found in mitochondrial proteome protein 51) (Mitochondrial contact site complex 12 kDa subunit)",YBR262C,cellular protein-containing complex assembly [GO:0034622]; cristae formation [GO:0042407]
P40185,"Protein MMF1, mitochondrial (Isoleucine biosynthesis and maintenance of intact mitochondria 1) (Maintenance of mitochondrial function 1)",YIL051C,isoleucine biosynthetic process [GO:0009097]; mitochondrial translation [GO:0032543]; organonitrogen compound catabolic process [GO:1901565]
P25374,"Cysteine desulfurase, mitochondrial (EC 2.8.1.7) (tRNA-splicing protein SPL1)",YCL017C,[2Fe-2S] cluster assembly [GO:0044571]; cellular iron ion homeostasis [GO:0006879]; iron-sulfur cluster assembly [GO:0016226]; mitochondrial tRNA thio-modification [GO:0070903]; tRNA thio-modification [GO:0034227]; tRNA wobble uridine modification [GO:0002098]
P0CE68,ABC transporter NFT1 (New full-length MRP-type transporter 1),YKR103W,macroautophagy [GO:0016236]; transmembrane transport [GO:0055085]
P32860,"NifU-like protein, mitochondrial",YKL040C,intracellular sequestering of iron ion [GO:0006880]; iron-sulfur cluster assembly [GO:0016226]; protein maturation by [4Fe-4S] cluster transfer [GO:0106035]; protein maturation by iron-sulfur cluster transfer [GO:0097428]
P32494,Chromatin-remodeling complexes subunit NGG1 (Transcriptional adapter 3),YDR176W,chromatin organization [GO:0006325]; histone acetylation [GO:0016573]; histone H3 acetylation [GO:0043966]; histone H4 acetylation [GO:0043967]; regulation of transcription by RNA polymerase II [GO:0006357]
Q08213,RNA exonuclease NGL1 (EC 3.1.-.-),YOL042W,
Q03264,RNA exonuclease NGL2 (EC 3.1.-.-) (Carbon catabolite repressor protein 4 homolog),YMR285C,rRNA processing [GO:0006364]
Q03210,Probable RNA exonuclease NGL3 (EC 3.1.-.-),YML118W,polyadenylation-dependent RNA catabolic process [GO:0043633]
P32831,Negative growth regulatory protein NGR1 (RNA-binding protein RBP1),YBR212W,3'-UTR-mediated mRNA destabilization [GO:0061158]; mitochondrion organization [GO:0007005]
P53136,Ribosome biogenesis protein NSA1 (NOP7-associated protein 1),YGL111W,ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]
P40078,Ribosome biogenesis protein NSA2 (NOP7-associated protein 2),YER126C,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; ribosomal large subunit biogenesis [GO:0042273]"
Q12296,Protein MAM3,YOL060C,cellular manganese ion homeostasis [GO:0030026]; mitochondrion organization [GO:0007005]
P36013,"NAD-dependent malic enzyme, mitochondrial (NAD-ME) (EC 1.1.1.38)",YKL029C,cellular amino acid metabolic process [GO:0006520]; malate metabolic process [GO:0006108]; pyruvate metabolic process [GO:0006090]
Q12525,Homocysteine S-methyltransferase 1 (EC 2.1.1.10) (S-methylmethionine:homocysteine methyltransferase 1) (SMM:Hcy S-methyltransferase 1),YLL062C,homocysteine metabolic process [GO:0050667]; L-methionine salvage from S-adenosylmethionine [GO:0019284]; S-adenosylhomocysteine metabolic process [GO:0046498]; sulfur amino acid metabolic process [GO:0000096]
P50945,MICOS complex subunit MIC27 (Altered inheritance of mitochondria protein 37) (Mitochondrial contact site complex 27 kDa subunit),YNL100W,cristae formation [GO:0042407]; positive regulation of protein oligomerization [GO:0032461]
P38162,Mitochondrial intermembrane space cysteine motif-containing protein MIX23 (Mitochondrial intermembrane space CX(n)C motif protein of 23 kDa),YBL107C,
P34165,Mating hormone A-factor 1,YDR461W,pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]
Q04922,Mitochondrial F-box protein MFB1,YDR219C,mitochondrion organization [GO:0007005]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]
P33441,THO complex subunit MFT1 (Mitochondrial fusion target protein 1),YML062C,DNA recombination [GO:0006310]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; stress granule assembly [GO:0034063]; transcription elongation from RNA polymerase II promoter [GO:0006368]
P53050,Protein MGA1,YGR249W,cellular response to heat [GO:0034605]; positive regulation of transcription from RNA polymerase II promoter in response to heat stress [GO:0061408]; pseudohyphal growth [GO:0007124]
Q96VH5,MICOS complex subunit MIC10 (Mitochondrial contact site complex 10 kDa subunit) (Mitochondrial inner membrane organization component of 10 kDa) (Mitochondrial organizing structure protein 1) (MitOS1),YCL057C-A,cristae formation [GO:0042407]; membrane organization [GO:0061024]
P43594,"MICOS complex subunit MIC19 (Altered inheritance of mitochondria protein 13, mitochondrial) (Mitochondrial contact site complex 19 kDa subunit)",YFR011C,cristae formation [GO:0042407]
P50087,MICOS subunit MIC26 (Mitochondrial contact site complex 29 kDa subunit) (Mitochondrial inner membrane organization component of 27 kDa) (Mitochondrial organizing structure protein 2) (MitOS2),YGR235C,cristae formation [GO:0042407]
Q04377,"DNA damage checkpoint protein LCD1 (DNA damage checkpoint protein 2) (Lethal, checkpoint-defective, DNA damage-sensitive protein 1)",YDR499W,chromatin organization [GO:0006325]; DNA damage checkpoint [GO:0000077]; DNA repair [GO:0006281]; establishment of protein localization [GO:0045184]; telomere maintenance via telomerase [GO:0007004]
Q12342,Protein LDB17 (Low dye-binding protein 17),YDL146W,endocytosis [GO:0006897]
P47912,Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Fatty acid activator 4) (Long-chain acyl-CoA synthetase 4),YMR246W,long-chain fatty acid import into cell [GO:0044539]; long-chain fatty-acyl-CoA metabolic process [GO:0035336]; sphingoid long-chain base transport [GO:1905329]
P38439,RNA polymerase-associated protein LEO1,YOR123C,"chromatin organization [GO:0006325]; DNA-templated transcription, termination [GO:0006353]; histone H3-K4 trimethylation [GO:0080182]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; positive regulation of transcription elongation from RNA polymerase I promoter [GO:2001209]; regulation of histone H2B conserved C-terminal lysine ubiquitination [GO:2001173]; regulation of transcription-coupled nucleotide-excision repair [GO:0090262]; transcription elongation from RNA polymerase II promoter [GO:0006368]"
Q12166,"2-isopropylmalate synthase 2, mitochondrial (EC 2.3.3.13) (Alpha-IPM synthase 2) (Alpha-isopropylmalate synthase 2) (Alpha-isopropylmalate synthase II)",YOR108W,leucine biosynthetic process [GO:0009098]
Q06005,"Octanoyltransferase, mitochondrial (EC 2.3.1.181) (Lipoate biosynthesis protein) (Lipoate-protein ligase) (Lipoyl ligase) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)",YLR239C,protein lipoylation [GO:0009249]
P38878,Endoplasmic reticulum junction formation protein lunapark (ER junction formation factor lunapark),YHR192W,endoplasmic reticulum tubular network organization [GO:0071786]; response to endoplasmic reticulum stress [GO:0034976]; reticulophagy [GO:0061709]
Q06147,Sphingoid long chain base kinase 5 (LCB kinase 5) (EC 2.7.1.91) (Sphinganine kinase 5),YLR260W,calcium-mediated signaling [GO:0019722]; response to heat [GO:0009408]; sphingolipid metabolic process [GO:0006665]
P40079,U3 small nucleolar ribonucleoprotein protein LCP5,YER127W,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]"
Q04081,Leucine carboxyl methyltransferase 1 (EC 2.1.1.233) (Protein phosphatase methyltransferase 1) ([Phosphatase 2A protein]-leucine-carboxy methyltransferase 1),YDR435C,cellular protein-containing complex assembly [GO:0034622]; C-terminal protein methylation [GO:0006481]; regulation of autophagy [GO:0010506]
P25587,Protein LDB16 (Low dye-binding protein 16),YCL005W,lipid droplet organization [GO:0034389]
Q12446,Proline-rich protein LAS17,YOR181W,actin cortical patch assembly [GO:0000147]; actin cortical patch localization [GO:0051666]; actin filament-based movement [GO:0030048]; actin filament organization [GO:0007015]; actin nucleation [GO:0045010]; endocytosis [GO:0006897]; positive regulation of actin filament bundle assembly [GO:0032233]; positive regulation of actin nucleation [GO:0051127]; positive regulation of Arp2/3 complex-mediated actin nucleation [GO:2000601]
P36016,Heat shock protein 70 homolog LHS1 (EC 3.6.1.3),YKL073W,"cellular response to heat [GO:0034605]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; cytoplasmic translation [GO:0002181]; posttranslational protein targeting to membrane, translocation [GO:0031204]; protein refolding [GO:0042026]; regulation of translational fidelity [GO:0006450]; response to unfolded protein [GO:0006986]"
Q08045,Long chronological lifespan protein 2,YLR104W,ubiquitin-dependent ERAD pathway [GO:0030433]
P39518,Long-chain-fatty-acid--CoA ligase 2 (EC 6.2.1.3) (Fatty acid activator 2) (Long-chain acyl-CoA synthetase 2),YER015W,fatty acid beta-oxidation [GO:0006635]; fatty-acyl-CoA transport [GO:0015916]; long-chain fatty acid import into peroxisome [GO:0015910]; long-chain fatty acid metabolic process [GO:0001676]; very long-chain fatty acid catabolic process [GO:0042760]
Q07887,Protein LDB18 (Low dye-binding protein 18),YLL049W,establishment of mitotic spindle orientation [GO:0000132]
P25045,Serine palmitoyltransferase 1 (SPT 1) (SPT1) (EC 2.3.1.50) (Long chain base biosynthesis protein 1),YMR296C,sphingolipid biosynthetic process [GO:0030148]
P38702,Mitochondrial carrier protein LEU5,YHR002W,coenzyme A transport [GO:0015880]
P38852,Protein LIN1,YHR156C,
P04173,3-isopropylmalate dehydrogenase (3-IPM-DH) (IMDH) (EC 1.1.1.85) (Beta-IPM dehydrogenase),YCL018W,glyoxylate cycle [GO:0006097]; leucine biosynthetic process [GO:0009098]
Q92325,Cullin-associated NEDD8-dissociated protein 1 homolog (CAND1 homolog) (Longevity-assurance protein 2),YOL025W,negative regulation of ubiquitin-protein transferase activity [GO:0051444]; replicative cell aging [GO:0001302]
Q08218,Outer spore wall protein LDS2 (Lipid droplets in sporulation protein 2),YOL047C,ascospore wall assembly [GO:0030476]
P36084,Splicing factor MUD2,YKL074C,mRNA branch site recognition [GO:0000348]
