Q9HPS9,Uncharacterized protein,VNG_1486H,
Q9HQ75,Uncharacterized protein,VNG_1295H,
Q9HNL3,Uncharacterized protein,VNG_2049C,
Q9HS90,DNA topoisomerase I,VNG_0349G,DNA topological change [GO:0006265]
Q9HNF8,Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42),VNG_2122G,isoleucine biosynthetic process [GO:0009097]; leucine biosynthetic process [GO:0009098]; valine biosynthetic process [GO:0009099]
Q9HHJ4,Vng6366h,VNG_6366H,
Q9HST0,Uncharacterized protein,VNG_0091C,
,,,
Q9HS77,Uncharacterized protein,VNG_0368C,
Q9HR19,Phosphomannomutase,VNG_0905G,carbohydrate metabolic process [GO:0005975]
Q9HP04,Uncharacterized protein,VNG_1865H,
Q9HSA7,Uncharacterized protein,VNG_0322H,
Q9HSV7,Uncharacterized protein,VNG_0056H,
Q9HPM9,Cobalamin biosynthesis,VNG_1557G,cobalamin biosynthetic process [GO:0009236]
Q9HN10,Uncharacterized protein,VNG_2298H,
Q9HNP7,Uncharacterized protein,VNG_2002H,
Q9HNK5,Uncharacterized protein,VNG_2064H,
Q9HNT7,Subtilisin homolog,VNG_1951G,polysaccharide catabolic process [GO:0000272]
Q9HQP5,Uncharacterized protein,VNG_1065C,
Q9HMD9,Uncharacterized protein,VNG_2589C,
Q9HQ48,Uncharacterized protein,VNG_1330H,
Q9HHM2,Daunorubicin resistance ABC transporter ATP-binding protein,VNG_6326G,
Q9HMW3,Oligopeptide ABC permease,VNG_2359G,transmembrane transport [GO:0055085]
Q9HQX9,Flagella-related protein E,VNG_0955G,archaeal or bacterial-type flagellum-dependent cell motility [GO:0097588]
Q9HRL5,Uncharacterized protein,VNG_0642C,
Q9HS42,Adenylosuccinate lyase,VNG_0415G,IMP biosynthetic process [GO:0006188]
Q9HN52,Uncharacterized protein,VNG_2248H,
Q9HSU6,Uncharacterized protein,VNG_0068H,
Q9HS87,Uncharacterized protein,VNG_0354C,
Q9HSV2,LPS biosynthesis protein,VNG_0062G,
Q9HRV6,Uncharacterized protein,VNG_0525C,iron-sulfur cluster assembly [GO:0016226]
Q9HPK4,Uncharacterized protein,VNG_1591H,
Q9HMV1,Aspartokinase (EC 2.7.2.4),VNG_2374G,homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]
Q9HRH9,Uncharacterized protein,VNG_0688H,
Q9HMC6,Hydroxymethylpyrimidine phosphate kinase,VNG_2606G,thiamine biosynthetic process [GO:0009228]
Q9HRI9,Uncharacterized protein,VNG_0676C,
Q9HST3,Molybdenum cofactor biosynthesis protein,VNG_0086G,molybdenum incorporation into molybdenum-molybdopterin complex [GO:0018315]; molybdopterin cofactor biosynthetic process [GO:0032324]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]
Q9HQQ9,UDP-glucose 6-dehydrogenase (EC 1.1.1.22),VNG_1048G,polysaccharide biosynthetic process [GO:0000271]
Q9HHQ6,sn-glycerol-3-phosphate transport system permease,VNG_6280G,glycerol-3-phosphate transmembrane transport [GO:0015794]; glycerophosphodiester transmembrane transport [GO:0001407]
Q9HNF5,GTP cyclohydrolase II,VNG_2125G,riboflavin biosynthetic process [GO:0009231]
Q9HHW3,Vng6198h,VNG_6198H,
Q9HNJ2,Uncharacterized protein,VNG_2080C,
,,,
Q9HPW7,Uncharacterized protein,VNG_1440H,
Q9HNU0,Formyltetrahydrofolate deformylase,VNG_1946G,'de novo' IMP biosynthetic process [GO:0006189]
Q9HMI5,Uncharacterized protein,VNG_2525H,
Q9HSN2,Regulatory protein,VNG_0152G,
Q9HHF8,Vng6420h,VNG_6420H,
Q9HT01,Uncharacterized protein,VNG_0005H,
Q9HSD9,Sarcosine oxidase,VNG_0281G,
Q9HQM5,UPF0434 protein VNG_1090H,VNG_1090H,
Q9HR42,Acyl-CoA hydrolase,VNG_0873G,acyl-CoA metabolic process [GO:0006637]
Q9HPJ5,Uncharacterized protein,VNG_1608C,
Q9HPF3,Uncharacterized protein,VNG_1664H,
Q9HQ34,Uncharacterized protein,VNG_1350C,
Q9HNT0,Uncharacterized protein,VNG_1960H,
Q9HHI6,Vng6377h,VNG_6377H,
Q9HQT0,Uncharacterized protein,VNG_1020C,phospholipid biosynthetic process [GO:0008654]
Q9HQH9,tRNA(Met) cytidine acetyltransferase TmcA (EC 2.3.1.193),VNG_1156G,rRNA acetylation involved in maturation of SSU-rRNA [GO:1904812]; tRNA acetylation [GO:0051391]; tRNA wobble cytosine modification [GO:0002101]
Q9HSR4,Oxidoreductase,VNG_0115G,
Q9HNJ7,Uncharacterized protein,VNG_2074H,
Q9HRL0,Uncharacterized protein,VNG_0650C,potassium ion transport [GO:0006813]
Q9HHG5,Vng6409h,VNG_6409H,
Q9HHN5,Proton/sodium-glutamate symport protein,VNG_6308G,
Q9HST7,Uncharacterized protein,VNG_0080H,
Q9HPI3,Cytochrome aa3 controlling protein,VNG_1623G,heme a biosynthetic process [GO:0006784]
Q9HSL4,TRK potassium uptake system protein,VNG_0175G,
Q9HPY6,Uncharacterized protein,VNG_1413H,
Q9HQ41,3-oxoacyl-[acyl-carrier-protein] reductase,VNG_1341G,
Q9HMG4,Uncharacterized protein,VNG_2554H,
Q9HMX1,Dipeptide ABC transporter permease,VNG_2346G,transmembrane transport [GO:0055085]
Q9HM84,Uncharacterized protein,VNG_2656H,
Q9HHW2,Cell division cycle protein,VNG_6199G,cell division [GO:0051301]
Q9HML3,Uncharacterized protein,VNG_2490H,
Q9HP03,Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M),VNG_1866G,protein initiator methionine removal [GO:0070084]
Q9HNA9,Uncharacterized protein,VNG_2177H,
Q9HN90,Heavy-metal transporting CPx-type ATPase,VNG_2201G,
Q9HNT5,Uncharacterized protein,VNG_1953C,
Q9HS84,Uncharacterized protein,VNG_0359C,
Q9HP16,Potassium channel homolog,VNG_1847G,
Q9HP34,Uncharacterized protein,VNG_1827H,
Q9HMH0,Aminopeptidase homolog,VNG_2546G,
Q9HMA5,Oxidoreductase,VNG_2632G,
Q9HRA6,Plastocyanin homology,VNG_0786G,
Q9HRX7,Proliferating-cell nucleolar antigen,VNG_0499G,
Q9HP98,Htr-like protein,VNG_1739G,
Q9HS94,Uncharacterized protein,VNG_0343H,
Q9HSH9,Uncharacterized protein,VNG_0220H,
Q9HQD3,Uncharacterized protein,VNG_1214H,
Q9HRQ4,Diphosphomevalonate decarboxylase,VNG_0593G,"isopentenyl diphosphate biosynthetic process, mevalonate pathway [GO:0019287]"
Q9HN01,Uncharacterized protein,VNG_2310H,cell redox homeostasis [GO:0045454]
Q9HNM4,Uncharacterized protein,VNG_2035H,
Q9HP58,Uncharacterized protein,VNG_1791C,
Q9HMM8,Uncharacterized protein,VNG_2468C,
Q9HSR1,Uncharacterized protein,VNG_0118H,
Q9HHI7,Vng6375h,VNG_6375H,
Q9HQI3,Geranylgeranyl diphosphate synthase,VNG_1150G,isoprenoid biosynthetic process [GO:0008299]
Q9HMB6,Alcohol dehydrogenase,VNG_2617G,
Q9HQK1,Transcription regulator,VNG_1123G,
Q9HNL2,Transcription elongation factor Spt4,VNG_2051G,"regulation of transcription, DNA-templated [GO:0006355]"
Q9HHV3,"L-2,4-diaminobutyrate decarboxylase",VNG_6211G,cellular amino acid metabolic process [GO:0006520]
Q9HRL2,F420H2:quinone oxidoreductase chain M,VNG_0647G,aerobic respiration [GO:0009060]; ATP synthesis coupled electron transport [GO:0042773]; electron transport coupled proton transport [GO:0015990]
Q9HMP8,Uncharacterized protein,VNG_2442H,
Q9HMM0,Uncharacterized protein,VNG_2477H,
Q9HHE7,Vng6441h,VNG_6441H,
Q9HHH4,Vng6397h,VNG_6397H,
Q9HSV3,Uncharacterized protein,VNG_0061C,
Q9HRB0,Uncharacterized protein,VNG_0779C,
Q9HPT4,Uncharacterized protein,VNG_1480C,
Q9HHI3,Vng6381h,VNG_6381H,
Q9HMZ2,Putative acetyltransferase,VNG_2321G,
Q9HN28,Uncharacterized protein,VNG_2279H,
Q9HHH9,Vng6387h,VNG_6387H,
Q9HRU0,Uncharacterized protein,VNG_0546C,
Q9HQZ0,Acetyl-CoA synthetase,VNG_0940G,nucleoside triphosphate biosynthetic process [GO:0009142]; succinate metabolic process [GO:0006105]; succinyl-CoA metabolic process [GO:0006104]; tricarboxylic acid cycle [GO:0006099]
Q9HNN9,Uncharacterized protein,VNG_2014H,
Q9HHZ2,Vng6159h,VNG_6159H,
Q9HNU5,Uncharacterized protein,VNG_1941C,
Q9HP69,Uncharacterized protein,VNG_1777H,
Q9HPS5,Uncharacterized protein,VNG_1492C,
Q9HML9,Uncharacterized protein,VNG_2480H,
Q9HPM1,Precorrin isomerase,VNG_1567G,cobalamin biosynthetic process [GO:0009236]
Q9HQP7,Uncharacterized protein,VNG_1063H,
Q9HMJ2,Uncharacterized protein,VNG_2518C,
Q9HS55,Uncharacterized protein,VNG_0399H,
Q9HMF0,Pab N-terminal acetyltransferase,VNG_2575G,N-terminal protein amino acid acetylation [GO:0006474]
Q9HHU4,Vng6223c,VNG_6223C,
Q9HS47,Uncharacterized protein,VNG_0408H,
Q9HRK3,Uncharacterized protein,VNG_0659H,
Q9HNP0,Uncharacterized protein,VNG_2012C,
Q9HSE1,Phytoene dehydrogenase,VNG_0277G,
Q9HRK9,Inosine-5'-monophosphate dehydrogenase,VNG_0651G,
Q9HSM0,Uncharacterized protein,VNG_0167H,
Q9HNM5,Uncharacterized protein,VNG_2034H,
Q9HNU4,Uncharacterized protein,VNG_1942H,
Q9HSY8,Uncharacterized protein,VNG_0022H,
Q9HSQ5,Uncharacterized protein,VNG_0125H,
Q9HQV8,Uncharacterized protein,VNG_0986H,
Q9HMS5,Uncharacterized protein,VNG_2408C,
Q9HQ56,Uncharacterized protein,VNG_1319H,
Q9HPM4,Uncharacterized protein,VNG_1564H,
Q9HN07,Acylaminoacyl-peptidase,VNG_2302G,
Q9HRE3,Uncharacterized protein,VNG_0738H,
Q9HHH7,Vng6390h,VNG_6390H,
Q9HQV9,Uncharacterized protein,VNG_0985H,
Q9HSA2,Zinc metalloproteinase homolog,VNG_0329G,CAAX-box protein processing [GO:0071586]
Q9HHY3,Vng6171h,VNG_6171H,
Q9HNY3,ABC transport protein,VNG_1893G,
Q9HQU3,Uncharacterized protein,VNG_1002H,
Q9HQN9,Transcription repressor,VNG_1071G,
Q9HR93,Uncharacterized protein,VNG_0804C,
Q9HS92,Uncharacterized protein,VNG_0346H,
Q9HN93,Halocyanin-like,VNG_2196G,
Q9HSP4,Uncharacterized protein,VNG_0139H,
Q9HSG7,Uncharacterized protein,VNG_0238H,
Q9HS88,Uncharacterized protein,VNG_0352H,
Q9HN03,Phosphate transporter,VNG_2307C,phosphate ion transmembrane transport [GO:0035435]
Q9HRS7,Uncharacterized protein,VNG_0565C,
Q9HR33,Uncharacterized protein,VNG_0883H,
Q9HRK8,Uncharacterized protein,VNG_0652H,
Q9HSJ1,Uncharacterized protein,VNG_0203C,
Q9HSF5,Uncharacterized protein,VNG_0256H,
Q9HNQ7,Uncharacterized protein,VNG_1991H,
Q9HR62,Uncharacterized protein,VNG_0846C,peptidyl-glutamic acid carboxylation [GO:0017187]
Q9HQ58,Uncharacterized protein,VNG_1317H,
Q9HSY3,Uncharacterized protein,VNG_0027H,
Q9HR28,Inosine-5'-monophosphate dehydrogenase,VNG_0890G,"regulation of transcription, DNA-templated [GO:0006355]"
Q9HPI8,Uncharacterized protein,VNG_1616C,
Q9HPR3,Uncharacterized protein,VNG_1510C,tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation [GO:0002926]
Q9HNX8,Circadian regulator,VNG_1899G,
Q9HSB1,Dolichol-P-glucose synthetase,VNG_0318G,protein N-linked glycosylation [GO:0006487]
Q9HQ23,Uncharacterized protein,VNG_1365C,
Q9HRN7,Uncharacterized protein,VNG_0613H,
Q9HMQ1,Uncharacterized protein,VNG_2439H,
Q9HHJ6,Vng6364h,VNG_6364H,
Q9HNA6,Uncharacterized protein,VNG_2180C,
Q9HQX8,Htr15 transducer,VNG_0958G,"chemotaxis [GO:0006935]; regulation of transcription, DNA-templated [GO:0006355]; signal transduction [GO:0007165]"
Q9HMY9,Uncharacterized protein,VNG_2324H,
Q9HP14,Uridine phosphorylase,VNG_1850G,nucleoside metabolic process [GO:0009116]
Q9HP25,Chloromuconate cycloisomerase,VNG_1837G,cellular amino acid catabolic process [GO:0009063]
Q9HHF5,Vng6429h,VNG_6429H,
F2Z6I7,Putative 2-ketoglutarate ferredoxin oxidoreductase (Beta),VNG_1125G,
Q9HPG7,Uncharacterized protein,VNG_1645H,
Q9HHJ3,Vng6367h,VNG_6367H,
Q9HSV6,Uncharacterized protein,VNG_0057H,
Q9HQV5,Uncharacterized protein,VNG_0989C,DNA integration [GO:0015074]; DNA recombination [GO:0006310]
,,,
Q9HSI6,Uncharacterized protein,VNG_0212H,
Q9HHS7,TRK potassium uptake system protein,VNG_6247G,
Q9HNR4,tRNA pseudouridine synthase Pus10 (EC 5.4.99.25) (tRNA pseudouridine 54/55 synthase) (Psi54/55 synthase),VNG_1982C,tRNA pseudouridine synthesis [GO:0031119]
Q9HMZ3,Heterodisulfide reductase,VNG_2320G,
Q9HRD4,Protein kinase,VNG_0749G,
Q9HQA7,Uncharacterized protein,VNG_1249C,
Q9HSA6,Uncharacterized protein,VNG_0323H,
Q9HHI1,Vng6384h,VNG_6384H,
Q9HM99,UDP-N-acetylglucosamine 2-epimerase,VNG_2639G,
Q9HRW5,Uncharacterized protein,VNG_0511H,
Q9HRS3,Uncharacterized protein,VNG_0568C,
Q9HMS9,Uncharacterized protein,VNG_2403H,
Q9HN18,Monoamine oxidase regulatory-like,VNG_2290G,
Q9HPJ2,Uncharacterized protein,VNG_1611C,
Q9HN81,Uncharacterized protein,VNG_2211H,
Q9HMJ8,Uncharacterized protein,VNG_2511H,
Q9HS11,Phosphate transport system permease protein,VNG_0455G,phosphate ion transport [GO:0006817]
Q9HNS0,Uncharacterized protein,VNG_1974H,
Q9HR30,DNA gyrase subunit B (EC 5.99.1.3),VNG_0887G,DNA-dependent DNA replication [GO:0006261]; DNA topological change [GO:0006265]
Q9HMB8,Uncharacterized protein,VNG_2615C,
Q9HQS8,Uncharacterized protein,VNG_1023C,oxidation-reduction process [GO:0055114]
Q9HSW0,Uncharacterized protein,VNG_0053H,
Q9HS43,Phosphoribosylaminoimidazole-succinocarboxamide formyltransferase,VNG_0414G,'de novo' IMP biosynthetic process [GO:0006189]
Q9HR14,Uncharacterized protein,VNG_0911H,
Q9HR60,Uncharacterized protein,VNG_0849C,
Q9HQC6,Uncharacterized protein,VNG_1227H,
Q9HSU7,Uncharacterized protein,VNG_0067H,
Q9HPQ2,Daunorubicin resistance ABC transporter ATP-binding protein,VNG_1526G,
Q9HSE9,Tubulin-like protein CetZ,VNG_0265G,cell division [GO:0051301]; microtubule-based process [GO:0007017]; regulation of cell shape [GO:0008360]
Q9HNN1,Acetyltransferase homolog,VNG_2025G,
Q9HPP9,Uncharacterized protein,VNG_1530H,
Q9HMK7,Glutaryl-CoA dehydrogenase,VNG_2499G,
Q9HN67,Uncharacterized protein,VNG_2231C,
Q9HNK0,Long-chain fatty-acid-CoA ligase,VNG_2071G,
,,,
Q9HQL8,Uncharacterized protein,VNG_1099C,
Q9HHZ5,Vng6156h,VNG_6156H,
Q9HHG6,Phenazine biosynthetic protein,VNG_6408G,biosynthetic process [GO:0009058]
Q9HHJ8,DNA polymerase B2,VNG_6362G,
Q9HQG2,Uncharacterized protein,VNG_1178H,
Q9HRK1,Cytochrome c oxidase subunit III,VNG_0662G,aerobic electron transport chain [GO:0019646]; aerobic respiration [GO:0009060]
Q9HNS2,Glycerol-3-phosphate dehydrogenase chain C,VNG_1972G,anaerobic respiration [GO:0009061]
Q9HP53,Uncharacterized protein,VNG_1796H,
Q9HPN9,Modification methylase (EC 2.1.1.113),VNG_1543G,DNA restriction-modification system [GO:0009307]
Q9HQY3,Type II secretion system protein,VNG_0949G,
Q9HMW9,Dipeptide ABC transporter dipeptide-binding,VNG_2349G,
Q9HQJ9,Putative 2-ketoglutarate ferredoxin oxidoreductase (Alpha),VNG_1128G,response to oxidative stress [GO:0006979]
Q9HRY6,Probable acetyltransferase,VNG_0486G,
Q9HSH2,Uncharacterized protein,VNG_0231C,
Q9HQ81,TRK potassium uptake system protein,VNG_1284G,
Q9HR81,Uncharacterized protein,VNG_0821C,tRNA wobble uridine modification [GO:0002098]
Q9HSP5,Uncharacterized protein,VNG_0138H,
Q9HN87,Uncharacterized protein,VNG_2204H,
Q9HPH6,Cobalt transport protein,VNG_1632G,cobalt ion transport [GO:0006824]
Q9HNG6,Uncharacterized protein,VNG_2113C,transmembrane transport [GO:0055085]
Q9HQF3,Halocyanin-like,VNG_1188G,
Q9HMP1,Uncharacterized protein,VNG_2451H,
Q9HNU3,Uncharacterized protein,VNG_1943H,
Q9HP51,Uncharacterized protein,VNG_1800H,
Q9HQD4,Uncharacterized protein,VNG_1213C,
Q9HQR6,"2-hydroxyhepta-2,4-diene-1,7-dioate isomerase",VNG_1037G,
Q9HNV1,Uncharacterized protein,VNG_1934H,
Q9HRK5,Uncharacterized protein,VNG_0656H,
Q9HRG7,Uncharacterized protein,VNG_0707C,
Q9HS23,Ferredoxin,VNG_0438G,
Q9HS03,Uncharacterized protein,VNG_0466C,
Q9HPL1,Uncharacterized protein,VNG_1581C,
Q9HNE9,Ferredoxin,VNG_2132G,
Q9HNK1,Uncharacterized protein,VNG_2068C,
Q9HPV8,Uncharacterized protein,VNG_1453H,
Q9HRU3,Uncharacterized protein,VNG_0542C,
Q9HQP4,Uncharacterized protein,VNG_1066C,
Q9HSZ5,Uncharacterized protein,VNG_0014C,
Q9HHV9,Vng6204h,VNG_6204H,
Q9HQ99,Uncharacterized protein,VNG_1260C,
Q9HNY4,Uncharacterized protein,VNG_1891H,
Q9HQ84,Uncharacterized protein,VNG_1281H,tRNA processing [GO:0008033]
Q9HRE0,Uncharacterized protein,VNG_0741H,
Q9HRW1,Uncharacterized protein,VNG_0518H,
Q9HM91,Ribonuclease II family protein,VNG_2647G,
Q9HNH0,Threonine synthase,VNG_2108G,cellular amino acid metabolic process [GO:0006520]
Q9HP07,Uncharacterized protein,VNG_1861C,tRNA methylthiolation [GO:0035600]
Q9HN68,Uncharacterized protein,VNG_2230H,
Q9HN79,DNA damage-inducible protein,VNG_2214G,
Q9HHL2,Vng6341h,VNG_6341H,
Q9HQW9,Chemotaxis protein,VNG_0967G,chemotaxis [GO:0006935]
Q9HPV4,Uncharacterized protein,VNG_1457C,
Q9HRH4,Uncharacterized protein,VNG_0697H,
Q9HHF6,Vng6427h,VNG_6427H,
Q9HHU5,Vng6222h,VNG_6222H,
Q9HMA1,Uncharacterized protein,VNG_2637H,
Q9HQT2,Uncharacterized protein,VNG_1017H,
Q9HS08,Nodulation protein,VNG_0459G,
Q9HNV7,Uncharacterized protein,VNG_1925H,
Q9HQS6,Uncharacterized protein,VNG_1025H,
Q9HQN2,Isochorismate synthase,VNG_1083G,salicylic acid biosynthetic process [GO:0009697]
Q9HQX2,Uncharacterized protein,VNG_0964C,
Q9HNW8,Heme biosynthesis protein,VNG_1911G,
Q9HPP3,Uncharacterized protein,VNG_1538H,
Q9HQ08,Helicase,VNG_1383G,nucleobase-containing compound metabolic process [GO:0006139]
Q9HRZ2,Probable oxidoreductase,VNG_0479G,
Q9HS24,Uncharacterized protein,VNG_0439C,oxidation-reduction process [GO:0055114]
Q9HNX5,Uncharacterized protein,VNG_1902H,
Q9HNG3,Uncharacterized protein,VNG_2117C,nucleoside metabolic process [GO:0009116]; purine-containing compound salvage [GO:0043101]; xanthine metabolic process [GO:0046110]
Q9HMQ4,Uncharacterized protein,VNG_2433H,
,,,
Q9HRD3,Uncharacterized protein,VNG_0750C,
Q9HHX3,Vng6186h,VNG_6186H,
Q9HMJ7,mRNA 3'-end processing factor homolog,VNG_2512G,
Q9HR97,Uncharacterized protein,VNG_0798H,
Q9HSD8,Uncharacterized protein,VNG_0283C,
Q9HHZ7,Spo0A activation inhibitor,VNG_6153G,
Q9HMS4,GTP-binding protein homolog,VNG_2410G,
Q9HPH9,Aryl-alcohol dehydrogenase,VNG_1628G,
Q9HQW4,Uncharacterized protein,VNG_0978H,
Q9HPH1,Uncharacterized protein,VNG_1640H,
Q9HHG1,Vng6416h,VNG_6416H,
Q9HMZ1,Delta-aminolevulinic acid dehydratase (EC 4.2.1.24),VNG_2322G,heme biosynthetic process [GO:0006783]
Q9HR82,Uncharacterized protein,VNG_0819C,carbohydrate metabolic process [GO:0005975]
Q9HNT8,Inosine-5'-monophosphate dehydrogenase-like,VNG_1949G,
Q9HQP8,Rhamnosyl transferase,VNG_1062G,
Q9HP91,Uncharacterized protein,VNG_1751H,
Q9HRZ6,"Pyruvate ferredoxin oxidoreductase, subunit beta",VNG_0473G,
Q9HS31,Uncharacterized protein,VNG_0429H,
Q9HHG8,Vng6406h,VNG_6406H,
Q9HMN1,Uncharacterized protein,VNG_2466C,
Q9HSI3,Uncharacterized protein,VNG_0216H,
Q9HHL9,Vng6330h,VNG_6330H,
Q9HMS0,Uncharacterized protein,VNG_2414H,
Q9HNZ3,Thiamin-binding periplasmic protein homolog,VNG_1879G,thiamine transport [GO:0015888]
Q9HP60,Uncharacterized protein,VNG_1788C,
Q9HNV9,Transcription regulator,VNG_1922G,
Q9HNR0,Protein-export membrane protein SecD,VNG_1987G,intracellular protein transmembrane transport [GO:0065002]; protein targeting [GO:0006605]
Q9HQV0,Uncharacterized protein,VNG_0995H,
Q9HRL9,NADH dehydrogenase/oxidoreductase,VNG_0637G,
Q9HSD6,Uncharacterized protein,VNG_0284C,
Q9HSI5,Uncharacterized protein,VNG_0214C,
Q9HMZ0,Uncharacterized protein,VNG_2323H,
Q9HP19,Uncharacterized protein,VNG_1845C,
Q9HI02,Vng6145h,VNG_6145H,
Q9HRA8,Uncharacterized protein,VNG_0782H,
Q9HMB2,Riboflavin synthase alpha subunit,VNG_2624G,riboflavin biosynthetic process [GO:0009231]
Q9HMW6,Uncharacterized protein,VNG_2353H,
Q9HHR9,Sodium-dependent transporter,VNG_6261G,
Q9HNC0,Uncharacterized protein,VNG_2164C,
,,,
Q9HMF2,Halolysin,VNG_2573G,
Q9HS89,DNA repair protein,VNG_0351C,DNA repair [GO:0006281]
Q9HM87,Uncharacterized protein,VNG_2652H,
Q9HI04,Vng6143h,VNG_6143H,
Q9HHW5,Sodium-dependent phosphate transporter,VNG_6196G,phosphate ion transmembrane transport [GO:0035435]
Q9HSM7,2-keto-3-deoxygluconate kinase,VNG_0158G,
Q9HQZ5,Uncharacterized protein,VNG_0934H,
Q9HSN4,Uncharacterized protein,VNG_0150H,cytochrome complex assembly [GO:0017004]; oxidation-reduction process [GO:0055114]
Q9HSR2,Uncharacterized protein,VNG_0117H,
Q9HQQ2,Uncharacterized protein,VNG_1057C,
,,,
Q9HSA5,Pyruvate kinase (EC 2.7.1.40),VNG_0324G,glycolytic process [GO:0006096]
Q9HNW3,Geranylgeranylglyceryl phosphate synthase (GGGP synthase) (GGGPS) (EC 2.5.1.41) ((S)-3-O-geranylgeranylglyceryl phosphate synthase) (Phosphoglycerol geranylgeranyltransferase),VNG_1918C,glycerophospholipid biosynthetic process [GO:0046474]
Q9HNW5,Uncharacterized protein,VNG_1916H,
Q9HP86,Uncharacterized protein,VNG_1758H,
Q9HQM2,Uncharacterized protein,VNG_1094H,
Q9HMN9,UPF0201 protein VNG_2454C,VNG_2454C,
Q9HQK8,Glyoxalase,VNG_1114G,
Q9HQQ6,Glycosyl transferase-like,VNG_1053G,
Q9HPI0,Uncharacterized protein,VNG_1626C,
Q9HML5,Phosphate ABC transporter binding,VNG_2486G,
Q9HHQ9,Vng6276h,VNG_6276H,
Q9HSJ6,Uncharacterized protein,VNG_0197C,
Q9HSQ7,ABC transport protein,VNG_0123G,
Q9HPT2,Acyl-CoA dehydrogenase,VNG_1482G,
Q9HPE4,GTP-binding protein homolog,VNG_1676G,translational elongation [GO:0006414]
Q9HQ17,Uncharacterized protein,VNG_1372C,
Q9HNJ1,Uncharacterized protein,VNG_2081H,
Q9HMZ9,Uncharacterized protein,VNG_2312C,regulation of translational fidelity [GO:0006450]
Q9HMR1,Phosphoserine phosphatase,VNG_2423G,dephosphorylation [GO:0016311]; L-serine biosynthetic process [GO:0006564]
Q9HNC9,Uncharacterized protein,VNG_2154C,
Q9HHX0,Vng6189h,VNG_6189H,
Q9HSI1,Type II secretion system protein,VNG_0218G,
Q9HQ64,Membrane anchor,VNG_1309G,
Q9HRZ3,Uncharacterized protein,VNG_0478C,L-methylmalonyl-CoA metabolic process [GO:0046491]
Q9HQD2,Sporulation regulator homolog,VNG_1215G,
Q9HSZ8,Glucose-1-phosphate thymidylyltransferase,VNG_0009G,biosynthetic process [GO:0009058]
Q9HPZ0,UDP-sugar hydrolase,VNG_1408G,nucleotide catabolic process [GO:0009166]
Q9HPF9,Uncharacterized protein,VNG_1657H,
Q9HNB0,Uncharacterized protein,VNG_2176H,
,,,
Q9HND4,Uncharacterized protein,VNG_2149H,
Q9HQ71,Uncharacterized protein,VNG_1300H,
Q9HMI7,Uncharacterized protein,VNG_2523H,
Q9HP11,Translation initiation factor eIF-2B subunit alpha,VNG_1853G,L-methionine salvage from methylthioadenosine [GO:0019509]
Q9HPI6,Uncharacterized protein,VNG_1619H,
Q9HSQ3,NAD-dependent glucose-6-phosphate dehydrogenase (Glc6PDH) (EC 1.1.1.388),VNG_0128C,glucose metabolic process [GO:0006006]; pentose-phosphate shunt [GO:0006098]
Q9HPL0,Histidinol-phosphate transaminase,VNG_1582G,cobalamin biosynthetic process [GO:0009236]
Q9HRC2,Membrane protein,VNG_0763G,
Q9HME8,Uncharacterized protein,VNG_2577C,
Q9HMW8,Uncharacterized protein,VNG_2351C,
Q9HN69,Uncharacterized protein,VNG_2227C,
Q9HSD2,Uncharacterized protein,VNG_0289H,
Q9HMY0,Uncharacterized protein,VNG_2335H,
Q9HPT1,Uncharacterized protein,VNG_1483C,
Q9HQ96,Uncharacterized protein,VNG_1263C,
Q9HRW2,Uncharacterized protein,VNG_0516H,
Q9HQE0,Uncharacterized protein,VNG_1205C,
Q9HQ12,Extragenic suppressor homolog,VNG_1379G,inositol phosphate dephosphorylation [GO:0046855]; phosphatidylinositol phosphorylation [GO:0046854]; signal transduction [GO:0007165]
Q9HSE0,Uncharacterized protein,VNG_0280H,
F2Z6G9,Peptidyl-prolyl cis-trans isomerase,VNG_1294G,
Q9HN38,Uncharacterized protein,VNG_2268H,"regulation of transcription, DNA-templated [GO:0006355]"
Q9HPU9,Bacterio-opsin linked product,VNG_1463G,
Q9HPS4,Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase),VNG_1493G,'de novo' IMP biosynthetic process [GO:0006189]; glutamine metabolic process [GO:0006541]; nucleoside metabolic process [GO:0009116]; purine nucleobase biosynthetic process [GO:0009113]
Q9HSE4,Uncharacterized protein,VNG_0271C,
Q9HNG0,Proline dehydrogenase,VNG_2120G,proline catabolic process to glutamate [GO:0010133]
Q9HSE2,Uncharacterized protein,VNG_0274C,
Q9HHV7,Vng6206h,VNG_6206H,
Q9HS15,Uncharacterized protein,VNG_0450C,cell redox homeostasis [GO:0045454]
Q9HHM3,Vng6325h,VNG_6325H,
Q9HRH1,Uncharacterized protein,VNG_0702H,metal ion transport [GO:0030001]
Q9HRW7,Uncharacterized protein,VNG_0509H,
Q9HMF8,Uncharacterized protein,VNG_2563H,
Q9HP99,Uncharacterized protein,VNG_1737H,
